name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
TCS,3.9,(53.2k Reviews),Public,"Mumbai,Maharashtra + 275 more",55 years old,1 Lakh+ Employees (India)
Accenture,4.1,(33.7k Reviews),Public,Dublin + 133 more,34 years old,1 Lakh+ Employees (India)
Cognizant,4.0,(31.1k Reviews),Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1070 more",29 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(41.2k Reviews),Public,"Mumbai,Maharashtra + 1295 more",29 years old,50k-1 Lakh Employees (India)
Wipro,3.9,(30.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
Infosys,3.9,(29.6k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 127 more",42 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(25.1k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(22.5k Reviews),Public,"Pune,Maharashtra + 212 more",37 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(20.3k Reviews),Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(19.4k Reviews),Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
Amazon,4.2,(19.8k Reviews),Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.3k Reviews),Public,"Mumbai,Maharashtra + 1123 more",30 years old,50k-1 Lakh Employees (India)
Concentrix Corpo...,4.0,(15.6k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
IBM,4.2,(15.8k Reviews),Public,"Armonk,New York + 121 more",112 years old,50k-1 Lakh Employees (India)
Reliance jio,4.0,(15.4k Reviews),Public,"Navi Mumbai,Maharashtra + 1019 more",16 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(25.1k Reviews),Public,"Mumbai,Maharashtra + 535 more",77 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(13.9k Reviews),Private,"Ahmedabad,Gujrat + 812 more",16 years old,1 Lakh+ Employees (India)
Vodafone Idea,4.2,(13.5k Reviews),Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
Teleperformance,3.6,(15.1k Reviews),Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
Reliance Retail,4.1,(17.8k Reviews),Private,"Navi Mumbai,Maharashtra + 739 more",17 years old,1 Lakh+ Employees (India)
Kotak Mahindra B...,3.9,(14k Reviews),Public,"Mumbai,Maharashtra + 481 more",20 years old,10k-50k Employees (India)
